platform,show_id,title,content_type,release_year,rating,duration_value,duration_unit,primary_genre,genres,country,date_added,director,description
Amazon Prime,s6477,Slackers,Movie,2002,R,87.0,min,Comedy,Comedy,,,Dewey Nicks,"When geeky Ethan discovers three fellow students scamming the examination system, he blackmails them to win over the college's most popular girl."
Amazon Prime,s6478,Shartu Gate,Movie,2018,13+,128.0,min,Comedy,"Comedy, Romance",,,Pradeep Bhattarai,"A couple is deeply in love and about to get married. However, the man's father does not want his son to get married to a corrupt politician's daughter, and a conflict is created between the two families."
Amazon Prime,s6479,Nootrenbadhu,Movie,2011,ALL,134.0,min,Romance,Romance,,,Jayendra Panchapakesan,"Soon after his marriage to Renuka, Dr Ajay learns that he has cancer and has only six months left to live. He fakes his death, moves to India and decides to lead his remaining life helping others."
Amazon Prime,s6480,Marina,Movie,2012,ALL,132.0,min,Comedy,"Comedy, Drama",,,Pandiraj,Pakoda' Pandian comes to Chennai to run his livelihood. He comes across a host of characters and his perspective on life changes. His cool and casual attitude earns him many friends in the beach. The rest of the movie shows some interesting incidents and the people he comes across.
Amazon Prime,s6481,Mankatha,Movie,2011,13+,154.0,min,Action,"Action, Suspense",,,Venkat Prabhu,A ruthless cop has to win a game to save an amount of 5 billiion from a corrupt politician and a local gang
Amazon Prime,s6482,Magamuni,Movie,2019,13+,150.0,min,Drama,Drama,,,Santhakumar,Two long-separated brothers end up in life-threatening situations. How do their lives intersect and what happens next is the rest of the movie.
Amazon Prime,s6483,Maayanadhi,Movie,2020,ALL,113.0,min,Romance,Romance,,,Ashok Thiagarajan,"Kousalya, an aspiring doctor, and her doting father live a humble and peaceful life until her father discovers her love for an auto driver."
Amazon Prime,s6484,Maayajaalam,Movie,2006,13+,138.0,min,Drama,Drama,,,S. V. Krishna Reddy,"Vamsi, a matchmaking consultant, fixes the marriage of a doctor's daughter, Swathi, with Chatrapathi. Things change when she mistakes Vamsi to be her future husband."
Amazon Prime,s6485,Kanna Laddu Thinna Aasaiya,Movie,2013,ALL,133.0,min,Comedy,Comedy,,,K. S. Manikandan,"Shiva and his friends fall for Sowmya, who has just moved into their locality. They are forced into a competition to win over the woman."
Amazon Prime,s6486,Kanchana,Movie,2011,13+,164.0,min,Comedy,"Comedy, Horror",,,Raghava Lawrence,"When three spirits possess a timid young man and start making him act like a woman, his mother consults an exorcist who unearths a heartbreaking tale of societal injustice, murder and vengeance."
Amazon Prime,s6487,Kana Kandaen,Movie,2005,13+,161.0,min,Drama,"Drama, Suspense",,,K. V. Anand,"Baskar, a young man, takes up the desalination of seawater as his ambition because he wants to make a difference. However, things turn when he meets a man who promises to finance his project."
Amazon Prime,s6488,Kadhalil Sodhappuvadhu Yeppadi,Movie,2012,ALL,122.0,min,Comedy,Comedy,,,Balaji Mohan,"Arun and Parvathi give an interview about their love story, but they fight even before the interview gets over. Parvathi has problems at her home, as her mother Saroja wants to divorce her father Akilan."
